1,Abhor,hate,0
2,Bigot,narrow-minded; prejudiced person,0
3,Counterfeit,fake; false,0
4,Enfranchise,give voting rights,0
5,Hamper,hinder; obstruct,0
6,Kindle,to start a fire,0
7,Noxious,harmful; poisonous; lethal,0
8,Placid,calm; peaceful,0
9,Remuneration,payment for work done,0
10,Talisman,lucky charm,0
11,Abrasive,rough; coarse; harsh,0
12,Bilk,cheat; defraud,0
13,Covert,hidden; undercover,0
14,Engender,cause,0
15,Hangar,storage area (like garage) for a plane,0
16,Knotty,complex; difficult to solve,0
17,Nuance,something subtle; a fine shade of meaning,0
18,Plagiarism,taking credit for someone else's writing or ideas,0
19,Renown,fame,0
20,Tangent,going off the main subject,0
21,Abasement,humiliation; degradation,0
22,Billowing,swelling; fluttering; waving,0
23,Cower,recoil in fear or servility; shrink away from,0
24,Enhance,improve; make better or clearer,0
25,Harangue,noisy; attacking speech,0
26,Labyrinth,a maze,0
27,Nullify,to counter; make unimportant,0
28,Plaintiff,petitioner (in court of law),0
29,Replete,full,0
30,Tangible,can be touched,0
31,Abrogate,cancel; deny; repeal,0
32,Blasphemy,speech which offends religious sentiments,0
33,Credible,believable,0
34,Enigma,puzzle; mystery,0
35,Harbingers,indicators; bringers of warnings,0
36,Labyrinthine,complicated; highly convoluted,0
37,Nuzzle,cuddle; snuggle,0
38,Plaudit,statement giving strong praise,0
39,Reprehensible,shameful; very bad,0
40,Tardy,slow; late; overdue; delayed,0
41,Absolution,forgiveness; pardon; release,0
42,Blatant,obvious,0
43,Creditable,praiseworthy,0
44,Ensconce,establish firmly in a position,0
45,Hasten,hurry; accelerate; rush,0
46,Laceration,a cut,0
47,Obdurate,stubborn,0
48,Plausible,can be believed; reasonable,0
49,Reprieve,a respite; postponement of a sentence,0
50,Tawdry,of little value; gaudy,0
51,Abstain,desist; go without; withdraw,0
52,Blighted,damaged; destroyed; ruined,0
53,Credulous,gullible; ready to believe anything,0
54,Enshroud,cover,0
55,Haughtiness,arrogance; pride,0
56,Lachrymose,tearful; sad,0
57,Obfuscate,deliberately make something difficult to understand,0
58,Plethora,an excess,0
59,Repudiate,shun; eschew,0
60,Tedium,boredom,0
61,Abstemious,self denying; refraining from indulging,0
62,Blithe,free-spirited; carefree,0
63,Crepuscular,active at dawn and dusk,0
64,Enunciation,clear pronunciation; accent; articulation,0
65,Headstrong,stubborn; willful,0
66,Lackluster,dull; monotonous; bland,0
67,Objective,unbiased; not subjective,0
68,Pliable,flexible; not stubborn,0
69,Rescind,retract; repeal,0
70,Temper,to moderate; soften,0
71,Abstruse,difficult to understand; obscure,0
72,Blunderbuss,1. ancient weapon (type of gun); 2. a clumsy person,0
73,Cringe,recoil; flinch; shy away,0
74,Envenom,to cause bitterness and bad feeling,0
75,Hedonism,self indulgence; pleasure-seeking,0
76,Laconic,using few words; brief; to the point,0
77,Oblique,indirect; slanting,0
78,Plumage,feathers of a bird,0
79,Resignation,acceptance of fate,0
80,Tenacious,stubborn; resolute; holding firm to a purpose,0
81,Accolade,tribute; honor; praise,0
82,Bolster,support; prop up,0
83,Cryptic,puzzling; enigmatic,0
84,Ephemeral,short-lived,0
85,Hedonist,a pleasure seeker,0
86,Lamentation,expression of regret or sorrow,0
87,Obliterate,destroy; demolish; eradicate,0
88,Plummet,fall suddenly and steeply,0
89,Resolution,determination,0
90,Tentative,not certain,0
91,Acquiesce,to agree to; give in to,0
92,Bombast,arrogant; pompous language,0
93,Curtail,cut short,0
94,Epicure,someone who appreciates good food and drink,0
95,Heed,listen to,0
96,Lampoon,ridicule; spoof,0
97,Oblivious,totally unaware,0
98,Podium,raised platform,0
99,Resonant,echoing,0
100,Tenuous,flimsy; not solid,0
101,Acrid,sharp; pungent (used of smells and tastes),0
102,Boorish,ill-mannered,0
103,Cynical,believing that people act only out of selfish motives,0
104,Epistle,a letter (form of communication),0
105,Heresy,against orthodox opinion,0
106,Lance,spear; spike; javelin,0
107,Obscure,difficult to understand; partially hidden,0
108,Poignant,deeply moving; strongly affecting the emotions,0
109,Respite,a break; intermission,0
110,Terse,concise; to the point,0
111,Acrophobia,fear of heights,0
112,Bourgeois,middle class,0
113,Debility,weakness; incapacity,0
114,Epistolary,concerned with letters; through correspondence,0
115,Hiatus,interruption; pause,0
116,Languid,tired; slow,0
117,Obscured,hidden; covered; buried,0
118,Poised,calm; collected; self-possessed,0
119,Resplendent,shining; glowing,0
120,Therapeutic,medicinal; curative,0
121,Acuity,sharpness (mental or visual),0
122,Braggart,someone who boasts,0
123,Debunking,exposing false claims or myths,0
124,Epitomized,typified; characterized; personified,0
125,Hidebound,rigid in opinions,0
126,Languish,decay; fade away; get weaker,0
127,Obsequious,servile; submissive,0
128,Polemical,causing debate or argument,0
129,Restorative,a tonic,0
130,Thwart,prevent; frustrate,0
131,Adamant,forceful; inflexible,0
132,Brawny,muscular,0
133,Decathlon,an athletic competition with ten events,0
134,Equivocate,speak ambiguously; avoid telling the truth,0
135,Hieroglyphics,1. picture writing; 2. writing which is difficult to read or enigmatic,0
136,Larceny,theft; robbery; stealing,0
137,Obsession,a dominating concern,0
138,Ponderous,weighty; slow and heavy,0
139,Retention,preservation; withholding,0
140,Timorous,cowardly; fearful,0
141,Adroit,skilful / skillful,0
142,Brevity,being brief,0
143,Decorum,dignified; correct behavior [decorous (a)],0
144,Err,make a mistake,0
145,Hinder,obstruct,0
146,Largess,generosity,0
147,Obsolete,no longer valid,0
148,Pontificate,speak pompously or dogmatically,0
149,Reticent,restrained; holding something back; uncommunicative,0
150,Tirade,stream of verbal abuse,0
151,Adulation,strong admiration; worship,0
152,Bristle,to show irritation,0
153,Decoy,lure; trap; trick,0
154,Erratic,wandering; irregular,0
